step_index,E_pdr_m,N_pdr_m,E_rtk_m,N_rtk_m,error_m
322,59.777170,-75.151379,-134.247247,-62.851106,194.413917
323,59.217011,-75.575710,-134.512070,-63.427990,194.109567
324,58.661242,-75.976700,-134.781505,-64.041234,193.810608
325,58.103573,-76.378129,-135.071226,-64.622151,193.532183
326,57.535888,-76.760237,-135.317681,-65.220149,193.198531
327,56.974177,-77.121160,-135.548968,-65.792466,192.856165
328,56.414581,-77.484050,-135.750880,-66.430455,192.483106
329,55.830356,-77.817229,-135.934006,-67.056830,192.066021
330,55.267375,-78.177419,-136.119850,-67.697427,191.673943
331,54.686692,-78.506848,-136.303441,-68.290637,191.263174
332,54.109218,-78.875490,-136.516113,-68.962259,190.882920
333,53.522468,-79.220413,-136.689649,-69.549991,190.457781
334,52.944854,-79.559105,-136.864742,-70.188107,190.040781
335,52.344109,-79.888282,-136.974004,-70.825770,189.534897
336,51.735430,-80.202930,-137.068368,-71.481097,189.005144
337,51.124899,-80.519148,-137.172574,-72.085204,188.486258
338,50.492475,-80.853982,-137.316674,-72.764180,187.983301
339,49.864262,-81.157822,-137.439557,-73.369841,187.465659
340,49.255287,-81.476171,-137.561990,-74.010317,186.966398
341,48.637643,-81.751110,-137.696778,-74.599744,186.471602
342,48.007066,-82.072333,-137.803476,-75.274883,185.934835
343,47.352439,-82.349757,-137.922939,-75.887375,185.388048
344,46.735925,-82.650437,-137.994973,-76.546667,184.831708
345,46.098373,-82.915450,-138.074535,-77.161040,184.262783
346,45.464850,-83.208400,-138.129960,-77.791036,183.674718
347,44.810480,-83.448999,-138.163280,-78.428626,183.042621
348,44.188696,-83.707288,-138.158353,-79.081513,182.405713
349,43.546667,-83.936334,-138.183848,-79.697503,181.779944
350,42.893556,-84.207348,-138.214310,-80.373448,181.148442
351,42.239353,-84.443126,-138.261830,-80.999719,180.534025
352,41.603787,-84.696647,-138.267894,-81.674016,179.897076
353,40.944486,-84.898566,-138.276725,-82.277397,179.240378
354,40.313206,-85.133953,-138.277976,-82.957678,178.604441
355,39.648012,-85.339330,-138.258570,-83.556173,177.915517
356,39.011979,-85.566323,-138.213806,-84.233965,177.230793
357,38.369365,-85.743215,-138.172896,-84.806939,176.544744
358,37.732528,-85.937789,-138.088725,-85.462723,175.821895
359,37.090864,-86.087741,-138.030461,-86.097094,175.121324
360,36.425120,-86.274215,-137.937133,-86.750441,174.362903
361,35.752281,-86.418037,-137.841812,-87.366427,173.596684
362,35.083916,-86.550351,-137.686186,-88.010610,172.776273
363,34.410645,-86.652073,-137.552641,-88.594426,171.974255
364,33.734353,-86.791799,-137.395611,-89.225413,171.147267
365,33.070833,-86.936524,-137.273292,-89.843991,170.368936
366,32.401556,-87.081789,-137.128115,-90.519712,169.564526
367,31.733267,-87.189895,-137.021303,-91.111550,168.800132
368,31.055340,-87.296765,-136.877163,-91.748284,167.991492
369,30.362362,-87.374622,-136.764438,-92.314496,167.199789
370,29.702584,-87.499164,-136.570440,-92.940065,166.362021
371,29.039307,-87.584271,-136.378342,-93.503794,165.523532
372,28.385173,-87.694519,-136.158493,-94.143670,164.670003
373,27.718821,-87.758790,-135.989623,-94.775087,163.858729
374,27.049113,-87.883780,-135.807274,-95.395852,163.029550
375,26.379517,-87.951123,-135.634653,-95.971010,162.212546
376,25.715315,-88.061276,-135.419080,-96.604941,161.360737
377,25.028722,-88.097209,-135.245032,-97.146144,160.528998
378,24.328998,-88.182199,-134.991495,-97.755428,159.607852
379,23.657511,-88.213625,-134.779602,-98.339820,158.760381
380,22.989343,-88.263884,-134.515777,-98.949124,157.867150
381,22.305836,-88.270210,-134.320584,-99.473876,157.026615
382,21.620959,-88.329474,-134.037521,-100.077265,156.101163
383,20.928104,-88.346465,-133.775117,-100.642148,155.191077
384,20.253682,-88.383109,-133.476875,-101.253006,154.268332
385,19.578084,-88.378852,-133.212311,-101.793418,153.378145
386,18.901566,-88.412326,-132.896230,-102.384757,152.439496
387,18.223024,-88.380219,-132.596803,-102.958225,151.522732
388,17.551592,-88.380509,-132.280284,-103.511750,150.593976
389,16.871989,-88.356682,-131.999702,-104.061857,149.697805
390,16.192429,-88.354417,-131.676639,-104.610414,148.759936
391,15.503291,-88.347439,-131.344207,-105.121516,147.802427
392,14.826362,-88.363531,-130.976793,-105.693738,146.829479
393,14.136920,-88.335460,-130.659620,-106.231295,145.898248
394,13.466265,-88.310577,-130.261714,-106.768690,144.908364
395,12.790525,-88.261389,-129.919342,-107.263619,143.969410
396,12.118391,-88.230368,-129.565451,-107.789225,143.027479
397,11.449996,-88.174391,-129.218578,-108.278579,142.097945
398,10.759521,-88.129215,-128.798476,-108.824357,141.084100
399,10.066641,-88.043632,-128.429290,-109.280942,140.114761
400,9.376959,-88.002301,-128.011185,-109.778025,139.103143
401,8.691743,-87.922738,-127.586089,-110.244305,138.093807
402,8.015199,-87.866743,-127.134106,-110.731995,137.069888
403,7.326581,-87.778806,-126.733012,-111.215625,136.092832
404,6.642356,-87.721501,-126.284743,-111.717303,135.075579
405,5.953427,-87.659455,-125.863588,-112.160878,134.074775
406,5.262056,-87.613064,-125.422149,-112.667217,133.064165
407,4.574336,-87.527440,-124.977058,-113.134224,132.057832
408,3.909728,-87.448188,-124.468009,-113.653305,131.025004
409,3.254275,-87.344431,-124.085741,-114.055259,130.111291
410,2.589779,-87.262266,-123.627220,-114.512083,129.125068
411,1.917569,-87.155583,-123.204012,-114.918332,128.164660
412,1.231994,-87.107849,-122.700158,-115.392261,127.118787
413,0.542385,-87.022000,-122.238792,-115.831677,126.115879
414,-0.151427,-86.933016,-121.697819,-116.268709,125.036428
415,-0.834454,-86.815507,-121.222855,-116.626935,124.024547
416,-1.521523,-86.716927,-120.661467,-116.989615,122.925839
417,-2.207201,-86.592032,-120.152114,-117.325956,121.883455
418,-2.891332,-86.487978,-119.604187,-117.698674,120.813898
419,-3.561311,-86.338016,-119.090488,-118.079867,119.810416
420,-4.257992,-86.200203,-118.566341,-118.473184,118.776867
421,-4.921865,-86.029998,-118.076307,-118.847885,117.817408
422,-5.584285,-85.891455,-117.535605,-119.252351,116.816298
423,-6.243946,-85.722544,-117.015219,-119.611438,115.839250
424,-6.876791,-85.528727,-115.409222,-120.626846,114.066501
425,-7.534269,-85.338421,-114.876383,-120.927016,113.087920
426,-8.185896,-85.116391,-114.281415,-121.230007,112.073424
427,-8.837695,-84.876718,-113.774326,-121.511943,111.147813
428,-9.502016,-84.666352,-113.165407,-121.827152,110.122767
429,-10.130961,-84.429713,-112.616515,-122.119297,109.196124
430,-10.768306,-84.208392,-112.008390,-122.436303,108.217041
431,-11.406924,-83.958283,-111.456371,-122.704787,107.290183
432,-12.054956,-83.735967,-110.860568,-122.979095,106.313556
433,-12.680327,-83.468375,-110.281483,-123.198233,105.377641
434,-13.324225,-83.231499,-109.652212,-123.389363,104.363476
435,-13.959463,-82.978460,-109.076230,-123.570620,103.416259
436,-14.623724,-82.776616,-108.431943,-123.795632,102.384284
437,-15.253059,-82.520365,-107.864644,-124.015231,101.482657
438,-15.908843,-82.291102,-107.267265,-124.278916,100.545203
439,-16.545732,-82.039429,-106.703313,-124.525444,99.666699
440,-17.180540,-81.804294,-106.092295,-124.755367,98.742569
441,-17.808152,-81.536624,-105.463314,-124.912618,97.800328
442,-18.463930,-81.294018,-104.820320,-125.066913,96.816798
443,-19.077937,-80.991757,-104.213450,-125.240154,95.947778
444,-19.702628,-80.694002,-103.550070,-125.388870,95.015919
445,-20.318894,-80.372529,-102.992685,-125.530638,94.203028
446,-20.960421,-80.070146,-102.282051,-125.664094,93.230980
447,-21.580597,-79.724034,-101.669116,-125.808465,92.401005
448,-22.231757,-79.412594,-101.016733,-125.939195,91.497524
449,-22.862098,-79.068488,-100.365684,-126.089880,90.652177
450,-23.481080,-78.741547,-99.707774,-126.252177,89.820759
451,-24.090471,-78.390423,-99.167029,-126.382276,89.105036
452,-24.697953,-78.077142,-98.553166,-126.472425,88.298901
453,-25.270557,-77.737427,-97.947512,-126.499397,87.519538
454,-25.860142,-77.400889,-97.267570,-126.512328,86.665761
455,-26.422681,-77.017560,-96.609480,-126.511922,85.882935
456,-27.016677,-76.647076,-95.956927,-126.502425,85.078280
457,-27.592671,-76.265331,-95.350083,-126.561457,84.384639
458,-28.168067,-75.882778,-94.668359,-126.604206,83.635830
459,-28.742058,-75.451817,-94.043086,-126.665035,82.988059
460,-29.327202,-75.026957,-93.359489,-126.641299,82.244599
461,-29.882958,-74.586720,-92.696497,-126.656976,81.589535
462,-30.454570,-74.148695,-92.009581,-126.615607,80.881371
463,-31.013124,-73.695125,-91.362524,-126.627926,80.274103
464,-31.608626,-73.294706,-90.661268,-126.604476,79.555931
465,-32.176563,-72.870534,-90.031959,-126.593995,78.952246
466,-32.745454,-72.469149,-89.379417,-126.528642,78.293259
